campaign_id,campaign_name,channel,start_date,end_date,budget,impressions,clicks,conversions,revenue,target_audience
C001,新年促销,社交媒体,2024-01-01,2024-01-15,50000,250000,12500,312,45000,18-35岁
C002,春季新品,搜索引擎,2024-02-01,2024-02-28,80000,400000,20000,500,85000,25-45岁
C003,会员日活动,邮件营销,2024-03-15,2024-03-20,30000,150000,7500,450,60000,已有会员
C004,618大促,全渠道,2024-06-01,2024-06-18,200000,1500000,75000,3750,550000,全年龄段
C005,夏季清仓,社交媒体,2024-07-01,2024-07-31,60000,300000,15000,600,90000,20-40岁
C006,开学季活动,搜索引擎,2024-08-15,2024-09-15,100000,500000,25000,800,140000,18-25岁
C007,双11狂欢,全渠道,2024-11-01,2024-11-11,500000,3000000,150000,7500,1200000,全年龄段
C008,年终感恩,邮件营销,2024-12-01,2024-12-31,40000,200000,10000,500,75000,VIP会员
C009,品牌推广,社交媒体,2024-04-01,2024-04-30,70000,350000,17500,437,65000,18-35岁
C010,新品发布,搜索引擎,2024-05-01,2024-05-15,90000,450000,22500,562,100000,25-40岁
