order_id,customer_id,product_category,quantity,price,order_date,region,amount
1,1001,电子产品,2,459.00,2024-01-01,华北,918.00
2,1002,服装,3,129.90,2024-01-01,华东,389.70
3,1003,食品,5,45.50,2024-01-01,华南,227.50
4,1004,电子产品,1,899.00,2024-01-02,华东,899.00
5,1005,家居,2,299.00,2024-01-02,华北,598.00
6,1006,服装,4,89.90,2024-01-02,华南,359.60
7,1007,图书,1,59.80,2024-01-03,西南,59.80
8,1008,电子产品,1,359.00,2024-01-03,西北,359.00
9,1009,食品,3,35.90,2024-01-03,华北,107.70
10,1010,服装,2,159.90,2024-01-04,华东,319.80
11,1011,家居,1,459.00,2024-01-04,华南,459.00
12,1012,电子产品,3,299.00,2024-01-04,华北,897.00
13,1013,食品,5,29.90,2024-01-05,西南,149.50
14,1014,图书,2,49.00,2024-01-05,西北,98.00
15,1015,服装,1,199.00,2024-01-05,华东,199.00
16,1016,电子产品,1,1299.00,2024-01-06,华南,1299.00
17,1017,家居,2,199.00,2024-01-06,华北,398.00
18,1018,食品,4,39.90,2024-01-06,华东,159.60
19,1019,服装,3,99.90,2024-01-07,西南,299.70
20,1020,图书,1,69.80,2024-01-07,华南,69.80
